,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,4.654235807765058
1,35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,9.342564063236468
2,38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,10.63550381978504
3,27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20.27482443957847
4,20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,14.013292380751501
5,37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,9.172093326077004
6,22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,13.67357457006374
7,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,8.947201762058604
8,38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,17.287005375714283
9,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,2.9827935343309897
10,34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,13.603039147231586
11,35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,9.069689423430795
12,29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,12.202202322127725
13,20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,3.1072586381007383
14,26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,9.309187195922611
15,37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20.170021623155012
16,30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,13.755335581272663
17,37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,19.867676213805495
18,23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,7.786052633777876
19,22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,16.841157787761777
20,38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,9.050986798086186
21,29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,1.531302762197395
22,20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,16.892289126576216
23,30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,7.785598085763762
24,24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,19.904854339933596
25,28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,12.456240808818132
26,39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,11.000823613167864
27,29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,13.176640105878622
28,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,13.60404763881213
29,35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,13.96317674302264
30,28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,17.063093344159746
31,30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20.430094772882978
32,,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,13.755137066510976
33,35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,16.46613664022368
34,25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,17.287005375714283
